Time	EMG	Muscle Force
9.112	-0.0506823	0.277352
9.113	-0.105634	0.277352
9.114	-0.0429641	0.277352
9.115	0.0578758	0.277352
9.116	0.0542476	0.277352
9.117	0.0268392	0.277352
9.118	-0.0150764	0.277352
9.119	-0.0577805	0.277352
9.12	-0.0516069	0.277352
9.121	-0.00355315	0.277352
9.122	-0.0120344	0.277352
9.123	-0.0562672	0.277352
9.124	0.0513934	0.277352
9.125	0.168652	0.277352
9.126	0.132289	0.277352
9.127	0.038803	0.277352
9.128	-0.118536	0.277352
9.129	-0.269275	0.277352
9.13	-0.23357	0.277352
9.131	0.029508	0.277352
9.132	0.234524	0.277352
9.133	0.217465	0.277352
9.134	0.100367	0.277352
9.135	-0.0502354	0.277352
9.136	-0.0853214	0.277352
9.137	-0.0609682	0.277352
9.138	-0.0302478	0.277352
9.139	-0.0914601	0.277352
9.14	-0.120565	0.277352
9.141	0.0351262	0.277352
9.142	0.179778	0.277352
9.143	0.11751	0.277352
9.144	0.0263675	0.277352
9.145	-0.0426529	0.277352
9.146	-0.0968559	0.277352
9.147	-0.0824525	0.277352
9.148	0.0321296	0.277352
9.149	0.0551254	0.277352
9.15	0.00301956	0.277352
9.151	-0.0330874	0.277352
9.152	-0.0379173	0.277352
9.153	-0.000771739	0.277352
9.154	0.052663	0.277352
9.155	0.105089	0.277352
9.156	0.0280867	0.277352
9.157	-0.0722875	0.277352
9.158	-0.0842978	0.277352
9.159	-0.0500732	0.277352
9.16	-0.0613621	0.277352
9.161	0.0184722	0.277352
9.162	0.113918	0.277352
9.163	0.0616874	0.277352
9.164	0.0988389	0.277352
9.165	0.0822737	0.277352
9.166	-0.11124	0.277352
9.167	-0.254008	0.277352
9.168	-0.206141	0.277352
9.169	0.026648	0.277352
9.17	0.302067	0.277352
9.171	0.260998	0.277352
9.172	0.00499258	0.277352
9.173	-0.154438	0.277352
9.174	-0.15171	0.277352
9.175	-0.0831709	0.277352
9.176	0.00939091	0.277352
9.177	0.06351	0.277352
9.178	0.0534695	0.277352
9.179	0.0342096	0.277352
9.18	-0.0121091	0.277352
9.181	0.0337977	0.277352
9.182	0.034832	0.277352
9.183	-0.0395051	0.277352
9.184	-0.076699	0.277352
9.185	-0.0623879	0.277352
9.186	-0.0188371	0.277352
9.187	0.0536974	0.277352
9.188	0.137839	0.277352
9.189	0.0537727	0.277352
9.19	-0.0679901	0.277352
9.191	-0.0505954	0.277352
9.192	-0.040036	0.277352
9.193	-0.019257	0.277352
9.194	0.0125242	0.277352
9.195	-0.0101503	0.277352
9.196	-0.00690282	0.277352
9.197	0.0182948	0.277352
9.198	0.102447	0.277352
9.199	0.0423714	0.277352
9.2	-0.0248406	0.277352
9.201	-0.0583358	0.277352
9.202	-0.0829228	0.277352
9.203	-0.0542159	0.277352
9.204	0.0273711	0.277352
9.205	0.0831567	0.277352
9.206	0.00325261	0.277352
9.207	-0.0149431	0.277352
9.208	0.0402412	0.277352
9.209	0.044213	0.277352
9.21	0.0144927	0.277352
9.211	-0.0403077	0.277352
9.212	-0.0699753	0.277352
9.213	-0.0983949	0.277352
9.214	-0.025676	0.277352
9.215	0.0689063	0.277352
9.216	0.026028	0.277352
9.217	0.0915726	0.277352
9.218	0.113412	0.277352
9.219	-0.0199836	0.277352
9.22	-0.0929741	0.277352
9.221	-0.0538373	0.277352
9.222	-0.0119461	0.277352
9.223	-0.114995	0.277352
9.224	-0.00830018	0.277352
9.225	0.1209	0.277352
9.226	-0.00758737	0.277352
9.227	0.0157998	0.277352
9.228	0.100949	0.277352
9.229	0.0317646	0.277352
9.23	-0.0549365	0.277352
9.231	-0.0355003	0.277352
9.232	0.0082691	0.277352
9.233	-0.00394627	0.277352
9.234	-0.0663214	0.277352
9.235	-0.10975	0.277352
9.236	-0.0728976	0.277352
9.237	0.0424612	0.277352
9.238	0.171163	0.277352
9.239	0.196045	0.277352
9.24	0.107754	0.277352
9.241	-0.061025	0.277352
9.242	-0.162282	0.277352
9.243	-0.177304	0.277352
9.244	-0.1489	0.277352
9.245	-0.0378046	0.277352
9.246	0.143668	0.277352
9.247	0.13184	0.277352
9.248	0.107329	0.277352
9.249	0.0979181	0.277352
9.25	0.0377398	0.277352
9.251	-0.113178	0.277352
9.252	-0.188058	0.277352
9.253	-0.0963385	0.277352
9.254	0.0396314	0.277352
9.255	0.110889	0.277352
9.256	0.0389544	0.277352
9.257	-0.0415313	0.277352
9.258	-0.0376937	0.277352
9.259	0.0586445	0.277352
9.26	0.0988576	0.277352
9.261	0.0368956	0.277352
9.262	-0.0757145	0.277352
9.263	-0.126713	0.277352
9.264	-0.0479331	0.277352
9.265	0.0542535	0.277352
9.266	0.0276842	0.276978
9.267	0.0498996	0.277352
9.268	0.0414407	0.277352
9.269	-0.0142313	0.277352
9.27	-0.0418594	0.277352
9.271	0.0243279	0.277352
9.272	0.0312443	0.277352
9.273	-0.0660809	0.277352
9.274	-0.0584492	0.276978
9.275	-0.0326782	0.277352
9.276	0.0251494	0.277352
9.277	0.0601545	0.277352
9.278	0.0716035	0.276978
9.279	0.0712558	0.277352
9.28	-0.00615645	0.276978
9.281	-0.065731	0.276978
9.282	-0.0861495	0.276978
9.283	-0.0682954	0.277352
9.284	-0.046025	0.277352
9.285	-0.00470022	0.277352
9.286	0.104009	0.277352
9.287	0.106854	0.277352
9.288	0.0528756	0.277352
9.289	-0.0103779	0.277352
9.29	-0.0302584	0.277352
9.291	-0.00522352	0.277352
9.292	-0.0566133	0.277352
9.293	-0.0741608	0.277352
9.294	-0.0556236	0.277352
9.295	-0.0518219	0.277352
9.296	0.00174201	0.277352
9.297	0.118508	0.277352
9.298	0.205451	0.277352
9.299	0.0635238	0.277352
9.3	-0.0726206	0.277352
9.301	-0.125318	0.277352
9.302	-0.101144	0.277352
9.303	0.00738627	0.277352
9.304	0.022565	0.277352
9.305	0.0216727	0.277352
9.306	-0.0859776	0.277352
9.307	-0.0245969	0.277352
9.308	0.128298	0.277352
9.309	0.128038	0.277352
9.31	0.0535277	0.277352
9.311	-0.0217055	0.277352
9.312	-0.122074	0.277352
9.313	-0.132488	0.277352
9.314	-0.0105667	0.277352
9.315	0.0625253	0.277352
9.316	0.0125855	0.277352
9.317	-0.0559735	0.277352
9.318	0.00477366	0.277352
9.319	0.0831018	0.277352
9.32	0.106044	0.277352
9.321	0.0971862	0.277352
9.322	0.0312508	0.277352
9.323	-0.16776	0.277352
9.324	-0.224777	0.277352
9.325	-0.130397	0.277352
9.326	0.0387463	0.277352
9.327	0.225482	0.276978
9.328	0.216565	0.277352
9.329	0.0157482	0.277352
9.33	-0.0911329	0.277352
9.331	-0.0572802	0.277352
9.332	-0.0804819	0.276978
9.333	-0.0420981	0.277352
9.334	-0.0035261	0.277352
9.335	-0.0332607	0.277352
9.336	-0.0290646	0.276978
9.337	0.0704341	0.276978
9.338	0.161965	0.277352
9.339	0.135201	0.277352
9.34	-0.0169658	0.277352
9.341	-0.128942	0.277352
9.342	-0.180339	0.277352
9.343	-0.176532	0.277352
9.344	-0.00772134	0.277352
9.345	0.209452	0.277352
9.346	0.188697	0.277352
9.347	0.0839405	0.277352
9.348	0.0166912	0.277352
9.349	-0.103269	0.277352
9.35	-0.200032	0.277352
9.351	-0.177627	0.277352
9.352	0.00186396	0.277352
9.353	0.245023	0.277352
9.354	0.250613	0.277352
9.355	0.04764	0.277352
9.356	-0.221018	0.277352
9.357	-0.308876	0.277352
9.358	-0.100625	0.277352
9.359	0.245575	0.277352
9.36	0.288729	0.276978
9.361	0.0342031	0.276978
9.362	-0.104906	0.277352
9.363	-0.195435	0.276978
9.364	-0.0324342	0.277352
9.365	0.0955978	0.277352
9.366	0.0318771	0.277352
9.367	-0.0187866	0.277352
9.368	-0.0480487	0.277352
9.369	-0.0879894	0.277352
9.37	0.0242388	0.277352
9.371	0.201804	0.277352
9.372	0.127159	0.277352
9.373	-0.0711049	0.277352
9.374	-0.130008	0.277352
9.375	-0.109189	0.277352
9.376	-0.0435632	0.277352
9.377	0.047627	0.277352
9.378	0.0472106	0.277352
9.379	0.0541173	0.277352
9.38	0.00243934	0.277352
9.381	0.00617099	0.277352
9.382	-0.0121505	0.277352
9.383	0.0311717	0.277352
9.384	0.0660275	0.277352
9.385	-0.00261979	0.277352
9.386	-0.0817919	0.277352
9.387	-0.139322	0.277352
9.388	-0.0410968	0.277352
9.389	-0.00214291	0.277352
9.39	0.0590909	0.277352
9.391	0.177949	0.277352
9.392	0.172722	0.277352
9.393	-0.0173027	0.277352
9.394	-0.150177	0.277352
9.395	-0.190809	0.277352
9.396	-0.113314	0.277352
9.397	0.0226511	0.277352
9.398	0.160107	0.277352
9.399	0.160707	0.277352
9.4	0.0314268	0.277352
9.401	-0.0456403	0.277352
9.402	-0.0850462	0.277352
9.403	-0.0700744	0.277352
9.404	-0.0126704	0.277352
9.405	0.019544	0.277352
9.406	-0.0372289	0.277352
9.407	-0.00357761	0.277352
9.408	0.103445	0.277352
9.409	0.134556	0.277352
9.41	-0.0205269	0.277352
9.411	-0.0485819	0.277352
9.412	-0.108199	0.277352
9.413	-0.186763	0.277352
9.414	0.0442748	0.277352
9.415	0.186807	0.277352
9.416	0.0625166	0.277352
9.417	-0.0484044	0.277352
9.418	-0.0453233	0.276978
9.419	-0.00843571	0.277352
9.42	0.0379609	0.277352
9.421	0.0633976	0.277352
9.422	-0.052115	0.277352
9.423	-0.115194	0.277352
9.424	0.00424256	0.276978
9.425	0.0920459	0.277352
9.426	0.0344236	0.277352
9.427	-0.0256946	0.276978
9.428	-0.0612005	0.277352
9.429	-0.052995	0.277352
9.43	-0.00784004	0.276978
9.431	0.090836	0.276978
9.432	0.104959	0.276978
9.433	0.136495	0.276978
9.434	-0.039679	0.276978
9.435	-0.238502	0.276978
9.436	-0.198086	0.276978
9.437	-0.0561209	0.276978
9.438	0.190864	0.276978
9.439	0.215672	0.276978
9.44	0.106288	0.276978
9.441	-0.0377086	0.276978
9.442	-0.143169	0.276978
9.443	-0.111749	0.276978
9.444	-0.0206753	0.276978
9.445	0.0422721	0.276978
9.446	0.0468027	0.276978
9.447	0.0168431	0.276978
9.448	0.0166787	0.276978
9.449	-0.0193418	0.276978
9.45	0.0552736	0.276978
9.451	-0.0164068	0.276978
9.452	-0.114759	0.276978
9.453	-0.0197002	0.276978
9.454	0.0769433	0.276978
9.455	0.136473	0.276978
